Symbol,Security,GICS Sector,GICS Sub-Industry,Total Revenue,Gross Profit,Operating Income,Net Income,EBITDA,Interest Expense,Total Assets,Total Liabilities Net Minority Interest,Current Assets,Current Liabilities,Total Debt,Stockholders Equity,Inventory,Operating Cash Flow,Capital Expenditure,Free Cash Flow,Revenue Growth (YoY),Negative Equity Flag,Net Margin,Operating Margin,ROA,ROE,Current Ratio,Quick Ratio,Debt-to-Equity,Interest Coverage Ratio,Asset Turnover
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,15009000000.0,2834000000.0,1316000000.0,511000000.0,1768000000.0,396000000.0,37066000000.0,25326000000.0,8434000000.0,6987000000.0,15008000000.0,11728000000.0,3471000000.0,1390000000.0,-580000000.0,810000000.0,0.100366568914956,False,0.034046238923312676,0.08768072489839429,0.013786219176603895,0.04357094133697135,1.207098897953342,0.7103191641620151,1.2796725784447476,3.323232323232323,0.4049263475961798
AEE,Ameren,Utilities,Multi-Utilities,8799000000.0,4171000000.0,2026000000.0,1456000000.0,4041000000.0,776000000.0,48476000000.0,34946000000.0,2571000000.0,3907000000.0,19830000000.0,13401000000.0,774000000.0,3353000000.0,-4174000000.0,-821000000.0,0.1542699724517906,False,0.1654733492442323,0.2302534378906694,0.030035481475369254,0.10864860831281248,0.6580496544663424,0.4599436908113642,1.4797403178867248,2.6108247422680413,0.18151250103143823
AEP,American Electric Power,Utilities,Electric Utilities,21876000000.0,13346000000.0,5385000000.0,3580000000.0,9239000000.0,2026000000.0,114460000000.0,82242000000.0,6052000000.0,13314000000.0,49508000000.0,31138000000.0,1622000000.0,6944000000.0,-8583000000.0,-1639000000.0,0.1092743775670604,False,0.16364966172974948,0.2461601755348327,0.03127730211427573,0.11497205986254737,0.4545591107105303,0.3327324620700015,1.5899543965572611,2.6579466929911155,0.19112353660667483
AXP,American Express,Financials,Consumer Finance,72230000000.0,,,10833000000.0,,8234000000.0,300052000000.0,266578000000.0,,,57759000000.0,33474000000.0,0.0,18428000000.0,-2425000000.0,16003000000.0,0.095240261414123,False,0.1499792330056763,,0.0361037420180502,0.32362430543108084,,,,,0.2407249410102249
AIG,American International Group,Financials,Multi-line Insurance,26774000000.0,,,3096000000.0,,396000000.0,161254000000.0,120092000000.0,,,9191000000.0,41139000000.0,0.0,3314000000.0,,3314000000.0,-0.0181884855152181,False,0.11563457085231942,,0.019199523732744615,0.07525705534893896,,,,,0.16603619135029207
AMT,American Tower,Real Estate,Telecom Tower REITs,10644600000.0,7896500000.0,4929200000.0,2529500000.0,6445200000.0,1359400000.0,63190400000.0,52835100000.0,2741800000.0,6913800000.0,44963900000.0,3652500000.0,0.0,5464000000.0,-1680400000.0,3783600000.0,0.0510901335018563,False,0.23763222666892134,0.4630704770493959,0.04002981465539069,0.692539356605065,0.3965691804796205,0.3965691804796205,12.310444900752909,3.6260114756510227,0.16845280295741125
AWK,American Water Works,Utilities,Water Utilities,5140000000.0,3121000000.0,1879000000.0,1111000000.0,2931000000.0,615000000.0,35442000000.0,24605000000.0,2191000000.0,4747000000.0,15918000000.0,10837000000.0,112000000.0,2059000000.0,-3301000000.0,-1242000000.0,0.0973526900085397,False,0.216147859922179,0.36556420233463033,0.03134698944754811,0.10251914736550706,0.46155466610490836,0.4379608173583316,1.468856694657193,3.0552845528455284,0.14502567575193273
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,18480000000.0,,,3563000000.0,,326000000.0,190904000000.0,184355000000.0,,,5862000000.0,6549000000.0,0.0,8323000000.0,-162000000.0,8161000000.0,0.0704355885078776,False,0.1928030303030303,,0.01866383103549428,0.5440525271033746,,,,,0.09680258140217073
AME,Ametek,Industrials,Electrical Components & Equipment,7401116000.0,2667439000.0,1910317000.0,1480142000.0,2302397000.0,81254000.0,16067543000.0,5438757000.0,3019842000.0,2842752000.0,2344442000.0,10628786000.0,1106405000.0,1801763000.0,-130248000.0,1671515000.0,0.0662619324091869,False,0.19998902868162044,0.2581120198629504,0.09211999619356862,0.13925786068136098,1.0622952688099419,0.673093185758026,0.22057476742875431,23.510436409284466,0.46062524929916165
AMGN,Amgen,Health Care,Biotechnology,36751000000.0,24714000000.0,9080000000.0,7711000000.0,16898000000.0,2755000000.0,90586000000.0,81928000000.0,29057000000.0,25489000000.0,54604000000.0,8658000000.0,6225000000.0,9958000000.0,-1858000000.0,8100000000.0,0.0995392532312111,False,0.20981741993415146,0.24706810699028597,0.0851235290221447,0.8906213906213907,1.1399819529993331,0.8957589548432657,6.306768306768307,3.2958257713248638,0.40570286799284655
APH,Amphenol,Information Technology,Electronic Components,23094700000.0,8517700000.0,5972000000.0,4270300000.0,6890900000.0,367800000.0,36236900000.0,22727200000.0,20267200000.0,6802800000.0,15502000000.0,13413100000.0,3424900000.0,5374700000.0,-996600000.0,4378100000.0,0.5171224552806006,False,0.1849038956990132,0.25858746812039124,0.11784396568139106,0.3183678642521117,2.979243840771447,2.475789380843182,1.1557358105136024,16.237085372485048,0.63732548865935
ADI,Analog Devices,Information Technology,Semiconductors,11019707000.0,6773478000.0,3002476000.0,2267342000.0,5028673000.0,317716000.0,47992712000.0,14176957000.0,7108061000.0,3245801000.0,8664610000.0,33815755000.0,1656323000.0,4812202000.0,-533552000.0,4278650000.0,0.1689321605654812,False,0.20575338346110292,0.27246423158074895,0.047243464799405374,0.06704987068897324,2.1899250755052453,1.6796279254335063,0.256229973277249,9.450188218408893,0.22961209193595894
AON,Aon plc,Financials,Insurance Brokers,17181000000.0,8196000000.0,4709000000.0,3695000000.0,6540000000.0,815000000.0,50784000000.0,41236000000.0,25774000000.0,23226000000.0,16071000000.0,9352000000.0,0.0,3481000000.0,-263000000.0,3218000000.0,0.0944706332016817,False,0.21506315115534602,0.2740818345847157,0.07275913673597983,0.3951026518391788,1.109704641350211,1.109704641350211,,,0.3383152173913043
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,8920000000.0,3618000000.0,2750000000.0,1434000000.0,5373000000.0,278000000.0,17761000000.0,10758000000.0,2121000000.0,2571000000.0,4590000000.0,6093000000.0,351000000.0,4545000000.0,-2766000000.0,1779000000.0,-0.0839067474581493,False,0.16076233183856503,0.30829596412556054,0.080738697145431,0.23535204332840964,0.8249708284714119,0.6884480746791132,0.7533234859675036,9.892086330935252,0.5022239738753449
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,32049000000.0,30606000000.0,8258000000.0,3492000000.0,8478000000.0,370000000.0,460949000000.0,418434000000.0,260356000000.0,331897000000.0,13364000000.0,23341000000.0,0.0,7246000000.0,,7246000000.0,0.2272727272727272,False,0.10895815782083684,0.25766794595775216,0.007575675400098492,0.1496079859474744,0.784448187238812,0.784448187238812,,,0.06952829922616167
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",416161000000.0,195201000000.0,133050000000.0,112010000000.0,144748000000.0,0.0,359241000000.0,285508000000.0,147957000000.0,165631000000.0,98657000000.0,73733000000.0,5718000000.0,111482000000.0,-12715000000.0,98767000000.0,0.0642551178283274,False,0.2691506412181824,0.31970799762591884,0.3117962593356549,1.5191298333175105,0.8932929222186667,0.858770399261008,1.3380304612588665,,1.1584451663368045
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,28368000000.0,13808000000.0,8470000000.0,6998000000.0,9975000000.0,269000000.0,36299000000.0,15884000000.0,20881000000.0,7999000000.0,7050000000.0,20415000000.0,5915000000.0,7958000000.0,-2260000000.0,5698000000.0,0.0438622313806299,False,0.24668640721940213,0.2985758601240835,0.1927876801013802,0.34278716629928974,2.6104513064133017,1.870983872984123,0.3453343130051433,31.486988847583643,0.7815091324829885
APP,AppLovin,Information Technology,Application Software,5480717000.0,4815577000.0,4151914000.0,3333764000.0,4354704000.0,207016000.0,7259610000.0,5124939000.0,4430792000.0,1333788000.0,3544741000.0,2134671000.0,0.0,3971094000.0,-28318000.0,3942776000.0,0.6999436734698942,False,0.6082715090014682,0.757549422821868,0.4592208121372911,1.5617226261095971,3.3219612112269714,3.3219612112269714,1.6605561231683945,20.056005332921128,0.7549602526857503
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,20398000000.0,3898000000.0,2017000000.0,165000000.0,2271000000.0,361000000.0,23413000000.0,13914000000.0,8745000000.0,5037000000.0,8094000000.0,9207000000.0,2561000000.0,2185000000.0,-656000000.0,1529000000.0,0.0347486430274438,False,0.008089028336111383,0.09888224335719188,0.007047366847477897,0.017921146953405017,1.7361524717093508,1.2277149096684534,0.8791137178233952,5.587257617728532,0.8712253876051766
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,19294000000.0,,,4399000000.0,,148000000.0,79241000000.0,55035000000.0,,,2729000000.0,24206000000.0,0.0,6172000000.0,-44000000.0,6128000000.0,0.1396337861783815,False,0.22799834145330156,,0.05551419088603122,0.1817318020325539,,,,,0.24348506454991733
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,80269000000.0,5033000000.0,1424000000.0,1078000000.0,3048000000.0,612000000.0,52389000000.0,29362000000.0,26665000000.0,19534000000.0,9758000000.0,22733000000.0,10369000000.0,5452000000.0,-1248000000.0,4204000000.0,-0.061510581082661,False,0.013429842155751286,0.017740348079582403,0.020576838649334784,0.04742005014736286,1.3650558001433397,0.8342377393263029,0.4292438305547002,2.326797385620915,1.5321727843631296
ARES,Ares Management,Financials,Asset Management & Custody Banks,5601482000.0,3035857000.0,892716000.0,527362000.0,2297502000.0,767460000.0,28633369000.0,19957277000.0,8869165000.0,7488517000.0,14222266000.0,4275463000.0,0.0,3266959000.0,-72178000.0,3194781000.0,0.4419041897085061,False,0.09414687041750737,0.15937139492727104,0.01841774190106655,0.12334617326825188,1.1843686807414606,1.1843686807414606,,,0.1956277656324689
ANET,Arista Networks,Information Technology,Communications Equipment,9005700000.0,5768700000.0,3856100000.0,3511400000.0,3928700000.0,0.0,19448600000.0,7078100000.0,16387000000.0,5376500000.0,,12370500000.0,2247100000.0,4371900000.0,-119500000.0,4252400000.0,0.2859590752666676,False,0.3899086134337142,0.42818437211987964,0.1805477000915233,0.28385271411826524,3.0478936110852786,2.629945131591184,,,0.46305132503110763
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,13942000000.0,5936000000.0,2556000000.0,1494000000.0,3632000000.0,639000000.0,70665000000.0,47318000000.0,34356000000.0,32519000000.0,13485000000.0,23321000000.0,0.0,1930000000.0,-145000000.0,1785000000.0,0.2065772392903505,False,0.10715822694018075,0.18333094247597187,0.02114200806622798,0.06406243300030016,1.0564900519696179,1.0564900519696179,,,0.19729710606382225
AIZ,Assurant,Financials,Multi-line Insurance,12814300000.0,,,872700000.0,,109700000.0,36289600000.0,30418000000.0,,,2206900000.0,5871600000.0,0.0,1833900000.0,-235500000.0,1598400000.0,0.0788718164596927,False,0.06810360300601671,,0.024048212159957675,0.14863069691395872,,,,,0.35311218641153386
T,AT&T,Communication Services,Integrated Telecommunication Services,125648000000.0,74828000000.0,25000000000.0,21953000000.0,54697000000.0,6804000000.0,420198000000.0,291706000000.0,48732000000.0,53780000000.0,155043000000.0,110533000000.0,2420000000.0,40284000000.0,-20842000000.0,19442000000.0,0.0270729793356003,False,0.17471826053737424,0.198968547052082,0.05224441810765401,0.19861036975382917,0.9061361100780959,0.8611379695053923,1.402685170944424,3.6743092298647855,0.2990209377483948
ATO,Atmos Energy,Utilities,Gas Utilities,4702755000.0,2733759000.0,1559971000.0,1198754000.0,2384457000.0,171678000.0,28249522000.0,14690632000.0,1052695000.0,1362615000.0,9303506000.0,13558890000.0,191832000.0,2049456000.0,-3561399000.0,-1511943000.0,0.1290621525516141,False,0.25490462505488803,0.33171428237277933,0.04243448791806106,0.08841092449308166,0.7725549770111146,0.631772731108934,0.6861554301273924,9.086609816050979,0.16647202030533473
ADSK,Autodesk,Information Technology,Application Software,7206000000.0,6556000000.0,1794000000.0,1124000000.0,1989000000.0,0.0,12467000000.0,9422000000.0,4942000000.0,5808000000.0,2734000000.0,3045000000.0,0.0,2452000000.0,-76000000.0,2376000000.0,0.1753384439732506,False,0.1559811268387455,0.24895920066611157,0.09015801716531643,0.3691297208538588,0.8508953168044077,0.8508953168044077,0.8978653530377668,,0.5780059356701692
